id,kanji,hiragana,meaning
hira_1,あ,ア,아
hira_2,い,イ,이
hira_3,う,ウ,우
hira_4,え,エ,에
hira_5,お,オ,오
hira_6,か,カ,카
hira_7,き,キ,키
hira_8,く,ク,쿠
hira_9,け,ケ,케
hira_10,こ,コ,코
hira_11,さ,サ,사
hira_12,し,シ,시
hira_13,す,ス,스
hira_14,せ,セ,세
hira_15,そ,ソ,소
hira_16,た,タ,타
hira_17,ち,チ,치
hira_18,つ,ツ,츠
hira_19,て,テ,테
hira_20,と,ト,토
hira_21,な,ナ,나
hira_22,に,ニ,니
hira_23,ぬ,ヌ,누
hira_24,ね,ネ,네
hira_25,の,ノ,노
hira_26,は,ハ,하
hira_27,ひ,ヒ,히
hira_28,ふ,フ,후
hira_29,へ,ヘ,헤
hira_30,ほ,ホ,호
hira_31,ま,マ,마
hira_32,み,ミ,미
hira_33,む,ム,무
hira_34,め,メ,메
hira_35,も,モ,모
hira_36,や,ヤ,야
hira_37,ゆ,ユ,유
hira_38,よ,ヨ,요
hira_39,ら,ラ,라
hira_40,り,リ,리
hira_41,る,ル,루
hira_42,れ,レ,레
hira_43,ろ,ロ,로
hira_44,わ,ワ,와
hira_45,を,ヲ,오(조사)
hira_46,ん,ン,응・은
hira_47,が,ガ,가
hira_48,ぎ,ギ,기
hira_49,ぐ,グ,구
hira_50,げ,ゲ,게
hira_51,ご,ゴ,고
hira_52,ざ,ザ,자
hira_53,じ,ジ,지
hira_54,ず,ズ,즈
hira_55,ぜ,ゼ,제
hira_56,ぞ,ゾ,조
hira_57,だ,ダ,다
hira_58,ぢ,ヂ,지
hira_59,づ,ヅ,즈
hira_60,で,デ,데
hira_61,ど,ド,도
hira_62,ば,バ,바
hira_63,び,ビ,비
hira_64,ぶ,ブ,부
hira_65,べ,ベ,베
hira_66,ぼ,ボ,보
hira_67,ぱ,パ,파
hira_68,ぴ,ピ,피
hira_69,ぷ,プ,푸
hira_70,ぺ,ペ,페
hira_71,ぽ,ポ,포
hira_72,きゃ,キャ,캬
hira_73,きゅ,キュ,큐
hira_74,きょ,キョ,쿄
hira_75,しゃ,シャ,샤
hira_76,しゅ,シュ,슈
hira_77,しょ,ショ,쇼
hira_78,ちゃ,チャ,챠
hira_79,ちゅ,チュ,츄
hira_80,ちょ,チョ,쵸
hira_81,にゃ,ニャ,냐
hira_82,にゅ,ニュ,뉴
hira_83,にょ,ニョ,뇨
hira_84,ひゃ,ヒャ,햐
hira_85,ひゅ,ヒュ,휴
hira_86,ひょ,ヒョ,효
hira_87,みゃ,ミャ,먀
hira_88,みゅ,ミュ,뮤
hira_89,みょ,ミョ,묘
hira_90,りゃ,リャ,랴
hira_91,りゅ,リュ,류
hira_92,りょ,リョ,료
hira_93,ぎゃ,ギャ,갸
hira_94,ぎゅ,ギュ,규
hira_95,ぎょ,ギョ,교
hira_96,じゃ,ジャ,쟈
hira_97,じゅ,ジュ,쥬
hira_98,じょ,ジョ,죠
hira_99,びゃ,ビャ,뱌
hira_100,びゅ,ビュ,뷰
hira_101,びょ,ビョ,뵤
hira_102,ぴゃ,ピャ,퍄
hira_103,ぴゅ,ピュ,퓨
hira_104,ぴょ,ピョ,표
