id,kanji,hiragana,meaning
kata_1,ア,あ,아
kata_2,イ,い,이
kata_3,ウ,う,우
kata_4,エ,え,에
kata_5,オ,お,오
kata_6,カ,か,카
kata_7,キ,き,키
kata_8,ク,く,쿠
kata_9,ケ,け,케
kata_10,コ,こ,코
kata_11,サ,さ,사
kata_12,シ,し,시
kata_13,ス,す,스
kata_14,セ,せ,세
kata_15,ソ,そ,소
kata_16,タ,た,타
kata_17,チ,ち,치
kata_18,ツ,つ,츠
kata_19,テ,て,테
kata_20,ト,と,토
kata_21,ナ,な,나
kata_22,ニ,に,니
kata_23,ヌ,ぬ,누
kata_24,ネ,ね,네
kata_25,ノ,の,노
kata_26,ハ,は,하
kata_27,ヒ,ひ,히
kata_28,フ,ふ,후
kata_29,ヘ,へ,헤
kata_30,ホ,ほ,호
kata_31,マ,ま,마
kata_32,ミ,み,미
kata_33,ム,む,무
kata_34,メ,め,메
kata_35,モ,も,모
kata_36,ヤ,や,야
kata_37,ユ,ゆ,유
kata_38,ヨ,よ,요
kata_39,ラ,ら,라
kata_40,リ,り,리
kata_41,ル,る,루
kata_42,レ,れ,레
kata_43,ロ,ろ,로
kata_44,ワ,わ,와
kata_45,ヲ,を,오(조사)
kata_46,ン,ん,응・은
kata_47,ガ,が,가
kata_48,ギ,ぎ,기
kata_49,グ,ぐ,구
kata_50,ゲ,げ,게
kata_51,ゴ,ご,고
kata_52,ザ,ざ,자
kata_53,ジ,じ,지
kata_54,ズ,ず,즈
kata_55,ゼ,ぜ,제
kata_56,ゾ,ぞ,조
kata_57,ダ,だ,다
kata_58,ヂ,ぢ,지
kata_59,ヅ,づ,즈
kata_60,デ,で,데
kata_61,ド,ど,도
kata_62,バ,ば,바
kata_63,ビ,び,비
kata_64,ブ,ぶ,부
kata_65,ベ,べ,베
kata_66,ボ,ぼ,보
kata_67,パ,ぱ,파
kata_68,ピ,ぴ,피
kata_69,プ,ぷ,푸
kata_70,ペ,ぺ,페
kata_71,ポ,ぽ,포
kata_72,キャ,きゃ,캬
kata_73,キュ,きゅ,큐
kata_74,キョ,きょ,쿄
kata_75,シャ,しゃ,샤
kata_76,シュ,しゅ,슈
kata_77,ショ,しょ,쇼
kata_78,チャ,ちゃ,챠
kata_79,チュ,ちゅ,츄
kata_80,チョ,ちょ,쵸
kata_81,ニャ,にゃ,냐
kata_82,ニュ,にゅ,뉴
kata_83,ニョ,にょ,뇨
kata_84,ヒャ,ひゃ,햐
kata_85,ヒュ,ひゅ,휴
kata_86,ヒョ,ひょ,효
kata_87,ミャ,みゃ,먀
kata_88,ミュ,みゅ,뮤
kata_89,ミョ,みょ,묘
kata_90,リャ,りゃ,랴
kata_91,リュ,りゅ,류
kata_92,リョ,りょ,료
kata_93,ギャ,ぎゃ,갸
kata_94,ギュ,ぎゅ,규
kata_95,ギョ,ぎょ,교
kata_96,ジャ,じゃ,쟈
kata_97,ジュ,じゅ,쥬
kata_98,ジョ,じょ,죠
kata_99,ビャ,びゃ,뱌
kata_100,ビュ,びゅ,뷰
kata_101,ビョ,びょ,뵤
kata_102,ピャ,ぴゃ,퍄
kata_103,ピュ,ぴゅ,퓨
kata_104,ピョ,ぴょ,표
