id,kanji,hiragana,meaning
word_470,毎朝,まいあさ,매일 아침
word_471,待つ,まつ,기다리다
word_472,問題,もんだい,문제
word_473,町,まち,시내, 도시
word_474,森,もり,숲
word_475,野菜,やさい,채소
word_476,夕飯,ゆうはん,저녁밥
word_477,雪,ゆき,눈
word_478,夜,よる,밤
word_479,夕方,ゆうがた,저녁때
word_480,有名だ,ゆうめいだ,유명하다
word_481,用事,ようじ,볼일, 용무
word_482,料理,りょうり,요리
word_483,旅行,りょこう,여행
word_484,私,わたくし,저
word_485,会う,あう,만나다
word_486,明るい,あかるい,밝다
word_487,開ける,あける,열다
word_488,暑い,あつい,덥다
word_489,姉,あね,언니, 누나
word_490,歩く,あるく,걷다
word_491,行き方,いきかた,가는 방법
word_492,医者,いしゃ,의사
word_493,犬,いぬ,개
word_494,歌,うた,노래
word_495,売る,うる,팔다
word_496,映画館,えいがかん,영화관
word_497,屋上,おくじょう,옥상
word_498,教える,おしえる,가르치다
word_499,弟,おとうと,남동생
word_500,思い出す,おもいだす,떠올리다, 생각해 내다
word_501,終わる,おわる,끝나다
word_502,青い,あおい,파랗다
word_503,秋,あき,가을
word_504,足,あし,발
word_505,集まる,あつまる,모이다
word_506,洗う,あらう,씻다
word_507,言う,いう,말하다
word_508,池,いけ,연못
word_509,以上,いじょう,이상
word_510,意味,いみ,의미, 뜻
word_511,海,うみ,바다
word_512,運転,うんてん,운전
word_513,英語,えいご,영어
word_514,送る,おくる,보내다
word_515,音,おと,소리
word_516,同じだ,おなじだ,같다
word_517,思う,おもう,생각하다
word_518,買う,かう,사다
word_519,顔,かお,얼굴
word_520,貸す,かす,빌려주다
word_521,家族,かぞく,가족
word_522,代わり,かわり,대신
word_523,漢字,かんじ,한자
word_524,教室,きょうしつ,교실
word_525,暗い,くらい,어둡다
word_526,研究,けんきゅう,연구
word_527,答える,こたえる,대답하다
word_528,帰る,かえる,돌아가다
word_529,書き方,かきかた,쓰는 법
word_530,風,かぜ,바람
word_531,借りる,かりる,빌리다
word_532,考える,かんがえる,생각하다
word_533,牛肉,ぎゅうにく,소고기
word_534,薬,くすり,약
word_535,経験,けいけん,경험
word_536,交通,こうつう,교통
word_537,小鳥,ことり,작은 새
word_538,寒い,さむい,춥다
word_539,自動車,じどうしゃ,자동차
word_540,市民,しみん,시민
word_541,写真,しゃしん,사진
word_542,授業,じゅぎょう,수업
word_543,調べる,しらべる,조사하다
word_544,好きだ,すきだ,좋아하다
word_545,先週,せんしゅう,지난주
word_546,死ぬ,しぬ,죽다
word_547,知る,しる,알다
word_548,住所,じゅうしょ,주소
word_549,食堂,しょくどう,식당
word_550,親切だ,しんせつだ,친절하다
word_551,住む,すむ,살다
word_552,台所,だいどころ,부엌
word_553,正しい,ただしい,바르다, 옳다
word_554,近く,ちかく,근처
word_555,使う,つかう,사용하다
word_556,店員,てんいん,점원
word_557,遠く,とおく,멀리
word_558,土曜日,どようび,토요일
word_559,台風,たいふう,태풍
word_560,建てる,たてる,세우다
word_561,地図,ちず,지도
word_562,作る,つくる,만들다
word_563,〜度,〜ど,~번
word_564,時計,とけい,시계
word_565,夏,なつ,여름
word_566,眠い,ねむい,졸리다
word_567,習う,ならう,배우다
word_568,乗れる,のれる,탈 수 있다
word_569,始める,はじめる,시작하다
word_570,走る,はしる,달리다
word_571,話,はなし,이야기
word_572,林,はやし,숲
word_573,引く,ひく,끌다, 찾다
word_574,開く,ひらく,열리다
word_575,広い,ひろい,넓다
word_576,冬,ふゆ,겨울
word_577,文,ぶん,문장, 글
word_578,本屋,ほんや,서점
word_579,場所,ばしょ,장소
word_580,働く,はたらく,일하다
word_581,早く,はやく,일찍, 빨리
word_582,光,ひかり,빛
word_583,病院,びょういん,병원
word_584,昼休み,ひるやすみ,점심시간
word_585,服,ふく,옷
word_586,古い,ふるい,낡다, 오래되다
word_587,便利,べんり,편리함
